city,lat,lng,id,population
New York,40.6943,-73.9249,1840034016,19354922.0
Los Angeles,34.1139,-118.4068,1840020491,12815475.0
Chicago,41.8373,-87.6862,1840000494,8675982.0
Miami,25.7839,-80.2102,1840015149,6381966.0
Dallas,32.7936,-96.7662,1840019440,5733259.0
Philadelphia,40.0077,-75.1339,1840000673,5637884.0
Houston,29.7869,-95.3905,1840020925,5446468.0
Washington,38.9047,-77.0163,1840006060,5289420.0
Atlanta,33.7627,-84.4225,1840013660,5228750.0
Boston,42.3188,-71.0846,1840000455,4637537.0
Phoenix,33.5722,-112.0891,1840020568,4081849.0
Seattle,47.6211,-122.3244,1840021117,3643765.0
San Francisco,37.7562,-122.443,1840021543,3603761.0
Detroit,42.3834,-83.1024,1840003971,3522206.0
San Diego,32.8312,-117.1225,1840021990,3210314.0
Minneapolis,44.9635,-93.2678,1840007830,2926757.0
Tampa,27.9942,-82.4451,1840015982,2804240.0
Denver,39.7621,-104.8759,1840018789,2787266.0
Brooklyn,40.6501,-73.9496,1840034030,2629150.0
Queens,40.7498,-73.7976,1840034002,2333054.0
Baltimore,39.3051,-76.6144,1840001592,2170504.0
Riverside,33.9381,-117.3948,1840020551,2084749.0
St. Louis,38.6358,-90.2451,1840001651,2078283.0
Las Vegas,36.2333,-115.2654,1840020364,2073045.0
Portland,45.5371,-122.65,1840019941,2052796.0
San Antonio,29.4658,-98.5254,1840022220,2002530.0
Sacramento,38.5667,-121.4683,1840021491,1854698.0
San Jose,37.3021,-121.8489,1840021570,1821899.0
Orlando,28.4772,-81.3369,1840015099,1776841.0
Cleveland,41.4767,-81.6805,1840000596,1730363.0
Pittsburgh,40.4396,-79.9763,1840001254,1715297.0
Cincinnati,39.1412,-84.506,1840003814,1648254.0
Manhattan,40.7834,-73.9662,1840034000,1643734.0
Austin,30.3006,-97.7517,1840019590,1638716.0
Kansas City,39.1239,-94.5541,1840008535,1615621.0
Indianapolis,39.7771,-86.1458,1840030084,1564699.0
Columbus,39.986,-82.9851,1840003760,1528314.0
Virginia Beach,36.7335,-76.0435,1840003871,1480383.0
Charlotte,35.2079,-80.8304,1840014557,1467362.0
Bronx,40.8501,-73.8662,1840033999,1455720.0
Milwaukee,43.0642,-87.9673,1840003046,1377808.0
Providence,41.823,-71.4187,1840003289,1206642.0
Jacksonville,30.3322,-81.6749,1840015031,1156291.0
Salt Lake City,40.7774,-111.93,1840021383,1098400.0
Nashville,36.1715,-86.7843,1840036155,1076645.0
Memphis,35.1046,-89.9773,1840015457,1068873.0
Richmond,37.5295,-77.4756,1840001698,1059907.0
New Orleans,30.0687,-89.9288,1840001839,1029123.0
Raleigh,35.8324,-78.6438,1840014497,1018336.0
Louisville,38.1663,-85.6485,1840030815,1011696.0
Oklahoma City,35.4676,-97.5137,1840020428,955998.0
Bridgeport,41.1918,-73.1953,1840004836,938406.0
Buffalo,42.9017,-78.8487,1840000386,926261.0
Hartford,41.7661,-72.6834,1840004773,914751.0
Fort Worth,32.7812,-97.3472,1840020696,874168.0
Tucson,32.1545,-110.8782,1840022101,868391.0
El Paso,31.8479,-106.4309,1840023252,845674.0
Honolulu,21.3294,-157.846,1840013305,833671.0
Omaha,41.2628,-96.0498,1840009315,827786.0
McAllen,26.2273,-98.2471,1840021024,800904.0
Albuquerque,35.1053,-106.6464,1840019176,758523.0
Birmingham,33.5277,-86.7987,1840006507,744189.0
Dayton,39.7797,-84.1998,1840034249,718169.0
Rochester,43.168,-77.6162,1840000373,711998.0
Sarasota,27.3386,-82.543,1840015988,706245.0
Fresno,36.7831,-119.7941,1840020319,698021.0
Allentown,40.5961,-75.4755,1840001044,682899.0
Tulsa,36.1284,-95.9043,1840021672,672054.0
Concord,37.9722,-122.0016,1840018905,654770.0
Cape Coral,26.6445,-81.9955,1840015130,630134.0
Springfield,42.1155,-72.5395,1840000466,628076.0
Colorado Springs,38.8674,-104.7606,1840018825,623946.0
Charleston,32.8151,-79.963,1840015163,616085.0
Grand Rapids,42.9615,-85.6557,1840002928,602694.0
Mission Viejo,33.6095,-117.655,1840020580,600474.0
Albany,42.6664,-73.7987,1840000417,597270.0
Knoxville,35.9692,-83.9496,1840014486,585249.0
Baton Rouge,30.4419,-91.131,1840013941,583613.0
Bakersfield,35.353,-119.0359,1840019148,574362.0
Ogden,41.228,-111.9677,1840020135,573632.0
New Haven,41.3112,-72.9246,1840004850,568144.0
Columbia,34.0376,-80.9037,1840014730,566166.0
Akron,41.0798,-81.5219,1840000791,565920.0
Provo,40.2457,-111.6457,1840020174,503695.0
Worcester,42.2705,-71.8079,1840000434,498997.0
Mesa,33.4017,-111.7181,1840020566,496401.0
Palm Bay,27.955,-80.6628,1840015094,489912.0
Toledo,41.6639,-83.5822,1840000572,488672.0
Murrieta,33.572,-117.1909,1840020553,483681.0
Wichita,37.6897,-97.3441,1840001686,483057.0
Des Moines,41.5725,-93.6105,1840007069,481222.0
Staten Island,40.5834,-74.1496,1840034032,476015.0
Long Beach,33.798,-118.1675,1840020490,469450.0
Greenville,34.8362,-82.3649,1840013501,467894.0
Little Rock,34.7255,-92.358,1840015509,442699.0
Harrisburg,40.2752,-76.8843,1840001288,441580.0
Denton,33.2176,-97.1419,1840019390,440146.0
Madison,43.0827,-89.3923,1840002915,439553.0
Reno,39.5497,-119.8483,1840020121,433271.0
Port St. Lucie,27.2796,-80.3884,1840015119,432589.0
